Donald 95 85
Mitchell 80 85
John 68 75
Joyce 90 65
Alicia 80 55
James 78 45
Flanklin 69 88
Smith 65 94
Ramesh 98 99
Stephen 85 78
  1. Alicia            80   55
  2. Donald            95   85
  3. Flanklin          69   88
  4. James             78   45
  5. John              68   75
  6. Joyce             90   65
  7. Mitchell          80   85
  8. Ramesh            98   99
  9. Smith             65   94
 10. Stephen           85   78

  1. Ramesh            98   99
  2. Donald            95   85
  3. Mitchell          80   85
  4. Stephen           85   78
  5. Smith             65   94
  6. Flanklin          69   88
  7. Joyce             90   65
  8. John              68   75
  9. Alicia            80   55
 10. James             78   45
